SalePrice,Id,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,MS SubClass_150,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS SubClass_20,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None
130500,109,72.77464788732394,13517,6,8,1976,2005,289.0,1,0.0,0,3.0,533.0,0.0,192.0,725.0,4,725,754,0,1479,0.0,0.0,2,1,3,1,3.0,6,0,1976.0,2,2.0,475.0,0,44,0,0,0,0,0,3,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
220000,544,43.0,11492,7,5,1996,1997,132.0,1,2.0,0,3.0,637.0,0.0,276.0,913.0,4,913,1209,0,2122,1.0,0.0,2,1,4,1,3.0,8,1,1997.0,2,2.0,559.0,0,74,0,0,0,0,0,4,2009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
109000,153,68.0,7922,5,7,1953,2007,0.0,0,0.0,0,3.0,731.0,0.0,326.0,1057.0,2,1057,0,0,1057,1.0,0.0,1,0,3,1,3.0,5,0,1953.0,1,1.0,246.0,0,52,0,0,0,0,0,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
174000,318,73.0,9802,5,5,2006,2007,0.0,0,2.0,0,0.0,0.0,0.0,384.0,384.0,3,744,700,0,1444,0.0,0.0,2,1,3,1,2.0,7,0,2007.0,3,2.0,400.0,100,0,0,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
138500,255,82.0,14235,6,8,1900,1993,0.0,0,-0.25,0,0.0,0.0,0.0,676.0,676.0,2,831,614,0,1445,0.0,0.0,2,0,3,1,2.0,6,0,1957.0,1,2.0,484.0,0,59,0,0,0,0,0,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
190000,138,137.0,16492,6,6,1966,2002,0.0,1,0.0,0,2.0,247.0,713.0,557.0,1517.0,4,1888,0,0,1888,0.0,0.0,2,1,2,1,3.0,6,1,1966.0,3,2.0,578.0,0,0,0,0,0,0,0,6,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
140000,2827,35.0,3675,6,5,2005,2006,82.0,0,2.0,3,3.0,547.0,0.0,0.0,547.0,3,1072,0,0,1072,1.0,0.0,2,0,2,1,2.0,5,0,2005.0,3,2.0,525.0,0,44,0,0,0,0,0,6,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
142000,145,75.19245283018869,12160,5,5,1959,1959,180.0,0,0.0,0,1.0,1000.0,0.0,188.0,1188.0,1,1188,0,0,1188,1.0,0.0,1,0,3,1,2.0,6,0,1959.0,2,2.0,531.0,0,0,0,0,0,0,0,5,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
112500,1942,62.802547770700635,15783,5,5,1952,1952,0.0,0,0.0,0,1.0,292.0,0.0,632.0,924.0,2,924,0,0,924,0.0,0.0,1,0,2,1,2.0,6,0,1952.0,1,1.0,420.0,0,324,0,0,0,0,400,6,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
135000,1956,70.0,11606,5,5,1969,1969,192.0,0,2.0,2,1.0,650.0,0.0,390.0,1040.0,2,1040,1040,0,2080,0.0,1.0,1,2,5,1,1.0,9,2,1969.0,1,2.0,504.0,335,0,0,0,0,0,0,9,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
85400,1044,21.0,1680,6,5,1971,1971,232.0,0,0.0,0,2.0,387.0,0.0,96.0,483.0,2,483,504,0,987,0.0,0.0,1,1,2,1,2.0,4,0,1971.0,1,1.0,264.0,0,0,0,0,0,0,0,7,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
