SalePrice,Id,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Heating QC,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Finish,Garage Area,MS SubClass_30,MS SubClass_60,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_StoneBr,House Style_2Story,Foundation_CBlock,Foundation_PConc,Garage Type_Attchd,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_None,Total Lot,Total SF,Total Bath,Porch,House Age,Remod Age,Garage Age
130500,109,6,289.0,1,0.0,0,3.0,533.0,4,3.0,6,0,2,475.0,0,1,0,0,0,0,1,1,0,1,0,0,0,13589.774647887323,3683.0,3.0,44,46,17,46.0
220000,544,7,132.0,1,2.0,0,3.0,637.0,4,3.0,8,1,2,559.0,0,1,0,0,0,0,1,0,1,1,0,0,0,11535.0,5157.0,4.0,74,26,25,25.0
109000,153,5,0.0,0,0.0,0,3.0,731.0,2,3.0,5,0,1,246.0,0,0,0,0,0,0,0,1,0,0,0,1,0,7990.0,3171.0,2.0,52,69,15,69.0
174000,318,5,0.0,0,2.0,0,0.0,0.0,3,2.0,7,0,3,400.0,0,1,0,0,0,0,1,0,1,0,1,0,0,9875.0,3272.0,3.0,100,16,15,15.0
138500,255,6,0.0,0,-0.25,0,0.0,0.0,2,2.0,6,0,1,484.0,0,0,0,0,0,0,0,0,1,0,0,1,0,14317.0,3566.0,2.0,59,122,29,65.0
190000,138,6,0.0,1,0.0,0,2.0,247.0,4,3.0,6,1,3,578.0,0,0,0,0,0,0,0,1,0,1,0,0,0,16629.0,5293.0,3.0,0,56,20,56.0
140000,2827,6,82.0,0,2.0,3,3.0,547.0,3,2.0,5,0,3,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0,3710.0,2691.0,3.0,44,17,16,17.0
142000,145,5,180.0,0,0.0,0,1.0,1000.0,1,2.0,6,0,2,531.0,0,0,0,0,0,0,0,1,0,1,0,0,0,12235.192452830188,3564.0,2.0,0,63,63,63.0
112500,1942,5,0.0,0,0.0,0,1.0,292.0,2,2.0,6,0,1,420.0,0,0,0,0,1,0,0,1,0,0,0,1,0,15845.802547770701,2772.0,1.0,324,70,70,70.0
135000,1956,5,192.0,0,2.0,2,1.0,650.0,2,1.0,9,2,1,504.0,0,1,0,0,0,0,1,0,1,1,0,0,0,11676.0,5200.0,3.0,335,53,53,53.0
85400,1044,6,232.0,0,0.0,0,2.0,387.0,2,2.0,4,0,1,264.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1701.0,2457.0,2.0,0,51,51,51.0
183600,2752,7,0.0,1,2.0,2,3.0,393.0,4,3.0,6,0,2,632.0,0,0,0,0,0,0,0,0,1,1,0,0,0,7552.0,3624.0,2.0,163,17,17,17.0
